Part,Table,Key,Key POC,Field,Type (example),Relationship (Table:FK Table),Connectivity (select dropdown),Defining relationship (Select dropdown),Relationship name,Optional tag,Notes,status,date,,Part,Count of Table,Count of Field,POC,,To-do,Task,Example,,Relationship,Connectivity,Defining relationship
PART 7: EDUCATION,,FK ? Program,Within,program_id,INT,Many:1,Optional:Optional,No (Normal),,,either Program or Report is nullable,,,,,,,,,,,,,,,
PART 7: EDUCATION,,FK ? InjuredReport,Wenhai,report_id,INT,Many:1,Optional:Optional,No (Normal),,,either Program or Report is nullable,,,,,,,,,,,,,,,
PART 7: EDUCATION,,FK ? Photo,Quan,campaign_photo_id,INT,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,campaign_title,VARCHAR(150),,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,promo_text,TEXT,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,start_date,DATE,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,end_date,DATE,,,,,,optional,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,notes,TEXT,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,total_money_raised,"DECIMAL(10,2)",,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,Donor,PK,,donor_id,INT,,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,first_name,VARCHAR(45),,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,last_name,VARCHAR(45),,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,email,VARCHAR(60),,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,mobile,VARCHAR(30),,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,Donation,PK,,donation_id,INT,,,,,,"surrogate key because: a donor can make multiple donation, with multiple credit card to a campaign",,,,,,,,,,,,,,,
PART 7: EDUCATION,,FK ? Campaign,Within,campaign_id,INT,Many:1,Optional:Mandatory,No (Normal),,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,FK ? CreditCard,Within,credit_card_number,VARCHAR(30),Many:1,Mandatory:Mandatory,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,amount,"DECIMAL(10,2)",,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,CreditCard,PK,,credit_card_number,VARCHAR(30),,,,,,,"splitting CC to a separate table due to 3NF of expiry, cvv, billing_address",26/03/2026,,,,,,,,,,,,,
PART 7: EDUCATION,,FK ? Donor,Within,donar_id,INT,Many:1,Mandatory:Mandatory,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,expiry,VARCHAR(30),,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,cvv,VARCHAR(30),,,,,,,,,,,,,,,,,,,,,
PART 7: EDUCATION,,,,billing_address,TEXT,,,,,,,,,,,,,,,,,,,,,
